sleep,class,study,activity,happiness,performance
9,3,1,6,5,18
5,13,15,4,5,71
5,1,15,6,6,16
15,15,8,6,1,68
19,7,7,10,2,93
17,4,14,9,7,53
3,2,8,5,8,40
4,12,12,8,2,86
9,3,7,7,5,72
13,7,12,7,1,17
12,6,1,10,6,28
9,13,13,4,1,87
14,15,8,2,1,33
15,7,9,6,10,57
16,8,9,3,7,8
11,15,6,2,10,39
19,9,7,8,4,67
2,9,1,9,0,44
8,13,5,4,6,91
11,3,14,2,8,23
8,8,3,3,3,36
2,8,9,4,2,7
3,5,11,3,6,78
1,6,2,5,10,67
8,5,4,9,1,59
1,2,6,4,2,78
8,3,15,6,7,9
5,13,13,4,0,82
7,4,10,2,2,81
11,7,1,4,7,9
5,15,11,6,4,100
17,3,5,8,10,45
8,10,4,7,1,94
17,15,7,9,4,29
10,4,13,9,3,46
6,1,11,6,7,82
7,14,6,5,1,28
3,12,4,9,9,42
17,7,15,9,1,55
18,1,10,3,4,89
9,3,5,7,1,25
14,9,4,2,1,30
3,7,1,3,5,46
7,1,8,5,0,77
17,1,2,2,6,80
1,4,10,7,7,84
18,12,6,3,9,21
16,7,4,1,5,41
17,13,6,2,9,38
19,13,13,10,3,43
17,5,15,7,0,46
19,8,10,2,4,2
19,10,9,9,7,66
14,13,3,4,9,48
3,13,4,7,3,45
16,15,7,5,1,42
11,11,11,3,0,74
16,9,6,10,9,67
3,14,3,4,10,13
11,7,4,7,7,19
16,6,4,10,6,85
8,6,13,10,0,84
11,1,5,4,4,52
5,1,2,8,8,68
8,14,11,1,10,63
14,10,5,10,6,51
3,13,11,6,3,23
15,1,13,5,10,7
8,7,4,8,9,25
9,7,1,1,2,30
1,13,1,9,5,8
19,9,7,3,1,46
3,2,5,9,5,87
16,2,7,5,6,34
10,2,13,1,2,87
15,7,11,5,3,35
13,12,9,8,1,56
6,12,8,5,3,33
4,8,15,1,0,47
10,7,12,2,1,83
17,8,9,4,5,97
12,2,2,9,7,84
8,1,5,4,2,63
1,13,11,5,7,43
17,10,7,8,3,52
5,6,1,10,2,80
8,1,9,6,4,80
1,14,14,8,2,65
17,15,9,8,2,22
12,14,5,3,2,5
3,10,9,10,6,37
4,11,5,8,3,90
12,14,13,8,10,98
6,3,9,4,8,96
6,13,10,8,3,90
8,13,14,7,6,43
16,6,5,8,10,62
10,10,9,6,1,45
11,5,11,7,2,18
18,13,12,10,5,44
8,2,7,2,0,77
9,3,10,1,2,29
10,11,3,3,9,45
2,8,15,8,4,84
5,9,7,5,0,63
13,3,14,4,9,43
7,8,9,1,0,77
17,15,15,10,4,58
14,4,10,3,1,1
14,12,8,1,2,22
9,8,10,10,1,98
2,11,12,7,10,12
5,13,7,1,1,83
3,3,3,9,0,3
12,3,8,5,2,40
4,11,8,3,6,3
11,8,7,5,10,32
17,2,11,2,7,67
10,8,8,5,3,79
10,3,9,10,10,23
3,9,8,10,8,22
8,4,9,1,4,74
4,1,15,7,0,54
11,10,14,10,4,53
1,4,5,9,5,9
13,10,2,8,8,50
14,3,8,9,9,73
11,1,14,3,6,45
17,6,14,6,6,70
13,11,8,4,1,45
9,2,4,7,9,4
18,5,3,1,10,85
9,3,9,8,5,14
16,5,8,1,1,59
1,8,8,3,10,22
3,9,8,10,3,88
5,15,1,7,7,38
9,1,7,3,4,54
13,11,11,1,3,26
17,6,3,7,7,24
19,2,14,7,7,20
7,10,12,10,5,15
9,4,12,5,3,72
9,14,6,1,0,11
4,4,12,9,7,2
9,10,2,9,1,53
10,6,4,2,3,19
10,5,12,1,10,1
19,13,4,3,7,50
5,5,7,9,6,73
15,9,2,8,0,22
3,10,7,5,1,51
15,5,8,8,4,50
9,5,13,6,4,47
11,5,14,3,1,72
14,5,7,3,4,95
3,15,2,1,8,47
4,2,8,10,7,48
19,9,12,4,0,72
9,2,13,2,5,64
3,9,15,9,0,43
9,15,1,7,1,100
5,5,6,10,8,63
2,9,12,10,7,53
3,8,2,9,0,23
1,2,10,4,7,61
13,9,6,9,0,69
9,7,10,7,3,57
5,3,8,6,1,60
7,8,15,2,2,71
12,2,14,4,6,3
8,4,13,6,1,33
4,3,4,6,7,46
15,5,7,9,6,69
14,3,12,6,3,79
11,8,2,9,7,57
18,10,9,5,1,86
3,5,7,10,5,55
2,7,7,7,9,60
17,6,6,1,6,64
8,8,8,10,8,33
17,5,12,4,9,56
12,5,7,2,3,45
12,5,7,2,8,2
15,11,12,5,6,60
7,3,15,10,10,68
11,7,1,1,1,83
2,10,5,1,6,54
3,1,11,5,8,63
19,10,14,4,1,60
3,13,13,6,4,39
11,14,6,4,9,55
9,7,15,1,6,38
19,5,1,6,9,70
18,1,12,6,2,31
1,6,15,3,3,72
6,6,9,9,6,9
9,10,6,8,1,19
13,3,12,6,5,86
17,9,7,7,9,14
12,14,8,8,1,83
4,5,6,3,1,84
3,13,14,4,2,45
9,12,9,1,0,83
10,9,15,10,9,17
11,14,7,4,0,92
15,15,15,4,9,100
17,13,6,6,9,41
4,14,1,8,10,59
17,5,7,2,7,89
3,14,11,7,4,39
6,4,2,1,10,86
4,4,7,10,3,21
12,4,12,10,8,26
11,7,15,7,9,58
9,7,2,3,2,71
11,11,7,1,4,51
13,11,7,3,4,75
5,8,8,4,0,52
17,1,1,10,7,18
18,15,5,9,6,35
9,7,8,6,6,94
3,8,12,9,7,24
6,10,11,7,9,18
17,11,1,4,10,28
8,2,13,3,3,95
1,7,15,3,7,58
10,11,12,10,8,75
3,9,15,6,6,2
10,5,7,10,0,78
12,10,6,4,4,13
11,2,12,10,1,95
11,7,7,10,8,69
11,15,15,4,9,11
19,13,12,8,3,14
10,3,7,8,2,32
6,9,2,10,4,31
13,15,6,7,9,72
13,11,2,4,4,7
16,5,15,7,8,45
6,2,14,8,9,35
19,3,7,4,6,33
7,15,10,5,7,88
12,2,9,5,0,38
11,4,8,7,0,92
2,11,13,6,1,11
12,11,7,2,8,63
10,9,6,5,1,61
19,2,8,8,1,19
19,1,15,7,1,37
5,7,12,4,1,48
7,13,2,6,7,9
10,3,3,5,1,90
1,14,9,2,3,15
13,14,4,7,5,70
19,6,14,1,10,38
13,13,14,1,10,68
16,8,10,8,9,7
9,8,4,8,6,36
5,14,4,10,10,23
17,15,6,7,7,27
15,11,14,3,8,90
16,11,8,8,3,70
3,2,6,7,9,85
4,6,5,10,1,81
12,14,14,5,4,12
12,2,9,6,1,36
8,7,13,9,2,43
13,14,8,1,7,67
9,1,4,7,2,81
11,1,9,4,7,5
2,3,6,5,9,51
8,8,12,5,8,12
11,2,7,5,3,5
6,4,5,8,1,81
3,6,1,8,10,52
17,15,7,1,9,56
17,10,1,9,6,55
12,1,3,3,8,37
14,11,9,10,5,97
9,3,2,8,8,72
2,15,6,8,2,78
9,11,5,5,7,80
17,7,5,2,3,1
14,10,2,10,5,28
5,4,10,5,2,58
17,15,8,2,3,54
4,2,2,1,2,84
4,14,5,5,10,86
19,9,4,5,4,16
1,11,12,8,0,71
4,13,2,8,1,44
15,12,13,4,2,44
11,1,3,3,3,8
1,4,11,7,8,46
19,3,5,6,2,78
14,12,9,10,5,12
7,9,1,2,1,99
5,14,13,3,7,43
15,13,10,9,4,49
3,5,9,2,8,12
5,4,8,8,1,26
3,12,12,4,2,58
16,10,9,9,1,100
1,5,14,2,4,91
1,5,2,8,5,40
2,3,13,1,1,48
14,13,8,8,10,43
3,11,2,9,4,77
8,14,10,5,1,72
17,3,13,4,8,18
13,8,4,2,10,3
19,2,7,1,2,9
6,15,4,4,9,50
3,14,3,8,0,47
5,12,13,7,3,34
19,4,7,9,4,34
18,11,12,8,2,99
3,11,3,7,8,60
16,11,6,9,1,86
3,12,8,4,10,98
16,1,14,7,5,64
12,8,8,9,6,89
6,12,7,5,6,8
2,14,1,7,5,7
4,11,1,4,7,81
11,13,3,1,4,65
12,15,8,10,8,68
1,15,3,9,1,13
11,5,4,7,2,57
9,7,12,4,10,49
5,9,10,5,5,86
1,1,3,4,8,25
4,9,13,10,0,15
12,8,14,9,8,82
17,9,6,2,9,77
15,8,2,1,9,75
7,13,7,1,4,25
3,4,5,8,9,68
6,2,13,1,10,15
7,9,14,8,8,29
14,6,1,4,0,44
19,3,2,6,6,86
3,1,10,1,0,94
1,2,7,5,6,3
12,10,5,4,9,15
5,10,4,6,5,30
7,3,8,8,3,88
3,5,10,3,6,39
6,13,13,3,1,65
3,5,7,6,2,87
7,15,8,1,2,37
7,13,9,5,10,23
11,14,2,7,10,27
5,6,8,8,5,56
8,10,12,4,9,86
16,4,14,10,8,46
5,8,14,3,7,71
12,4,9,8,8,40
14,9,6,4,3,49
6,2,13,8,6,35
15,4,6,7,8,84
2,11,14,10,5,68
8,4,2,7,8,52
13,12,5,2,9,13
8,3,9,9,2,23
4,2,5,9,0,79
17,11,10,4,0,1
10,5,9,8,1,50
11,14,4,10,9,26
8,14,12,8,9,68
16,6,4,5,1,17
5,3,13,2,2,19
1,12,13,5,0,38
18,8,10,9,6,24
1,7,7,1,9,92
12,1,5,1,10,4
15,9,14,7,1,33
18,15,13,8,6,49
2,6,1,3,5,86
7,2,4,3,9,96
3,3,8,2,6,1
15,8,4,10,6,54
8,15,1,2,2,95
9,10,12,4,1,52
10,15,2,1,0,1
6,3,14,3,1,96
8,7,10,3,0,79
6,5,13,10,4,8
10,8,1,4,0,69
16,11,1,2,3,78
8,15,14,3,8,8
2,7,8,5,0,45
5,3,6,1,0,94
10,5,9,6,0,24
15,10,1,4,6,92
15,5,6,7,0,84
1,15,9,6,1,37
2,15,1,7,3,31
9,3,7,6,6,77
11,2,13,2,1,91
6,7,2,10,7,43
4,3,3,6,9,16
17,11,11,2,4,99
19,13,6,7,3,46
18,4,9,4,6,29
3,11,8,10,10,41
3,4,3,3,4,78
7,11,10,3,6,65
9,4,15,5,9,50
15,5,7,4,2,74
8,9,2,8,6,28
8,15,11,9,2,64
6,2,4,4,0,1
4,12,6,8,10,99
17,2,11,8,5,11
19,9,8,1,8,28
14,13,7,7,8,32
17,3,14,3,7,78
11,8,14,9,2,90
15,9,13,9,4,7
15,4,1,4,8,32
5,6,7,6,0,93
2,12,14,1,2,26
16,10,8,3,2,51
5,6,10,10,7,53
2,12,2,3,6,100
12,6,13,5,3,32
2,10,2,5,6,86
5,4,3,1,5,11
15,6,3,10,1,80
11,14,10,2,5,73
8,4,2,5,10,43
1,1,12,3,5,36
17,7,13,9,9,60
6,3,11,4,10,61
1,3,7,7,0,54
3,5,7,2,3,88
18,3,14,2,5,86
2,1,4,10,10,33
8,11,5,1,8,98
8,14,14,5,6,74
15,1,4,7,8,22
15,7,6,10,6,61
19,14,14,8,3,10
3,3,13,3,8,73
14,11,2,10,10,4
7,2,10,3,1,98
19,10,12,1,1,87
8,13,7,5,10,25
15,9,15,10,3,54
5,15,5,9,5,42
15,1,2,6,5,61
15,7,9,10,4,26
14,10,11,2,0,60
2,11,5,10,6,81
16,6,9,8,1,8
18,11,13,6,9,97
15,6,7,7,5,34
16,2,5,1,9,33
8,15,12,1,3,54
4,11,14,5,4,1
1,10,15,8,8,40
4,11,5,1,9,14
17,9,8,10,1,76
19,1,14,10,3,96
10,5,1,7,5,20
17,4,2,7,6,43
13,14,4,7,2,72
16,8,9,9,5,9
6,14,11,1,6,48
19,7,7,5,7,84
13,2,7,3,7,58
17,6,7,4,0,73
15,8,1,1,7,53
17,3,8,5,9,96
2,11,14,4,0,74
7,9,4,2,9,97
7,3,14,4,3,89
6,12,9,2,3,35
2,3,5,1,9,69
16,7,8,3,0,97
19,6,12,8,6,37
16,13,10,1,5,63
11,12,15,8,0,45
19,1,8,10,1,53
17,12,7,8,4,95
7,7,11,2,4,84
19,6,10,3,0,17
3,5,15,2,1,48
15,10,12,9,5,36
1,5,2,9,2,89
7,15,9,5,1,62
7,11,7,4,4,12
8,15,4,2,8,1
11,12,12,6,6,100
10,6,7,6,9,85
8,4,7,2,5,84
17,1,8,10,9,3
3,1,3,5,0,76
10,6,4,3,5,3
3,10,7,9,1,44
15,6,5,3,6,9
7,2,8,9,6,96
16,15,13,4,5,48
1,14,4,6,4,26
11,11,7,6,2,95
13,4,10,8,9,25
2,15,10,9,0,74
11,7,11,6,9,42
16,14,4,5,2,7
14,9,6,2,1,62
4,5,11,10,6,16
17,11,7,3,3,7
4,1,15,2,6,92
2,4,1,8,3,52
10,4,2,6,2,92
14,10,10,2,5,83
15,14,2,6,2,68
12,13,11,9,8,98
6,9,11,8,8,80
17,1,3,7,8,46
19,10,11,6,2,53
8,12,2,4,5,44
19,13,3,9,8,33
5,12,12,9,5,25
5,15,10,8,6,42
18,1,7,10,2,84
19,7,9,9,7,74
18,7,3,8,0,79
1,14,14,4,7,53
12,7,15,5,3,49
11,6,2,8,5,4
5,1,12,4,1,36
19,2,11,9,9,28
16,14,4,10,2,19
15,1,1,8,4,35
3,3,12,2,1,61
8,11,1,5,3,35
3,13,5,1,5,18
2,2,5,5,7,58
13,13,10,2,4,73
3,13,9,9,7,96
5,14,8,5,2,75
13,6,9,5,8,41
8,9,15,10,1,32
8,6,15,3,9,66
15,3,3,1,5,64
14,8,11,4,1,40
1,8,3,7,8,19
12,1,13,1,8,61
9,4,6,4,6,63
7,11,11,5,1,60
5,6,7,4,9,20
13,3,6,2,5,63
9,5,4,9,4,86
13,2,4,5,10,92
19,4,5,10,6,72
17,1,3,8,7,5
4,5,11,6,2,71
3,14,3,6,6,68
3,11,8,2,4,32
5,14,9,6,1,5
6,12,12,9,4,55
10,2,12,6,0,63
9,2,6,6,0,36
14,9,11,2,2,61
8,9,4,10,6,87
9,8,6,3,8,78
5,8,1,8,0,79
8,13,14,10,4,55
9,2,13,1,7,10
4,9,11,6,1,77
9,15,2,1,0,4
5,4,14,5,8,83
12,15,5,7,10,7
10,2,15,3,7,94
13,14,6,5,5,80
10,6,15,1,10,7
1,3,15,4,3,69
13,6,6,8,10,21
14,14,12,5,3,61
18,12,5,5,6,38
7,8,3,5,10,64
9,9,4,2,2,47
4,5,6,5,3,40
16,13,11,5,0,84
16,11,15,3,7,10
9,2,7,6,2,2
10,9,2,2,5,57
10,8,2,10,7,68
4,9,1,2,7,18
11,10,12,7,4,73
13,11,13,6,5,55
15,4,9,10,2,9
18,15,1,10,8,66
2,15,6,8,7,99
3,7,5,10,8,64
14,9,1,2,6,90
4,4,9,4,8,51
6,9,6,5,6,48
17,10,5,9,6,72
3,6,12,8,6,44
17,3,11,9,1,46
1,11,13,2,4,98
14,13,8,5,9,50
8,1,4,10,0,95
8,11,14,3,2,55
17,12,5,4,4,39
5,2,4,8,2,26
15,9,3,9,0,77
9,3,14,1,7,73
12,3,15,1,6,49
8,12,14,1,1,13
16,3,5,2,1,36
17,5,2,10,0,73
3,1,13,5,4,47
19,12,14,7,7,12
8,1,5,6,6,46
3,11,10,2,8,89
16,2,9,5,3,80
13,13,11,5,2,65
10,9,14,6,10,68
11,9,9,4,0,98
10,6,7,8,5,4
12,4,8,3,10,29
4,2,7,7,6,26
15,2,8,9,8,67
13,4,6,4,4,12
15,2,10,1,8,80
13,8,15,7,6,88
19,10,13,10,8,29
5,3,3,3,5,1
6,9,4,10,3,96
9,4,9,6,2,25
10,8,8,9,7,60
18,2,3,7,4,51
7,8,1,10,4,38
11,7,11,1,6,46
1,2,4,6,4,83
14,6,11,6,5,100
7,5,3,7,3,26
10,2,8,4,7,79
3,9,12,9,0,71
14,15,6,4,4,92
19,7,2,2,8,25
14,6,5,7,3,56
6,15,11,7,7,16
15,8,11,1,1,8
10,8,13,6,3,82
13,6,9,5,2,24
17,5,10,9,1,76
9,14,1,5,3,58
10,14,14,1,8,67
11,7,13,9,4,7
12,5,7,6,5,9
2,11,8,6,6,94
9,7,7,6,2,59
11,11,13,10,5,39
8,9,10,4,7,62
3,8,7,1,2,77
8,14,5,10,3,33
12,15,8,2,2,88
6,7,6,1,8,60
14,4,1,4,10,28
15,7,4,2,5,68
8,8,6,9,0,68
5,15,3,10,8,81
7,5,8,3,7,21
7,11,5,7,6,74
8,11,4,4,3,42
15,13,5,4,3,12
18,11,14,1,0,95
11,13,10,8,8,54
8,2,12,5,10,39
4,14,6,7,6,22
10,12,6,2,6,80
1,8,15,3,0,98
1,1,7,5,3,41
17,9,12,7,3,20
5,1,11,7,7,24
8,5,1,1,9,6
11,5,12,1,0,37
14,8,2,10,2,42
16,2,11,9,4,66
1,2,14,1,6,38
6,14,8,1,1,72
8,15,9,5,10,13
17,11,4,8,4,97
3,5,14,5,7,90
15,14,12,7,10,48
16,5,1,5,0,81
19,6,4,8,0,8
14,9,12,10,7,64
7,1,9,5,0,42
6,9,1,7,8,91
6,11,4,5,8,34
14,8,14,5,10,39
8,11,14,4,1,35
8,2,3,4,8,25
3,9,14,9,5,51
13,8,14,2,8,23
4,1,11,8,5,98
8,12,4,8,8,42
19,12,8,2,3,64
10,5,14,7,6,55
16,2,6,9,2,77
16,10,12,1,2,82
6,3,6,1,7,86
1,11,12,5,6,61
18,3,1,9,0,86
9,7,1,7,1,37
6,11,7,10,9,46
14,15,13,1,0,2
16,9,13,10,2,69
13,3,10,7,3,69
5,6,12,10,9,27
4,8,2,5,7,69
12,13,5,5,8,80
15,4,1,10,4,100
19,5,13,10,2,85
19,2,7,8,9,46
7,9,9,7,2,28
9,11,12,7,2,78
6,12,1,7,4,7
12,5,5,3,9,58
12,7,8,1,8,12
17,11,12,3,0,35
6,11,9,7,4,80
12,11,11,10,9,88
7,15,10,4,8,17
2,3,4,7,8,30
11,14,9,2,4,31
2,14,4,10,3,3
13,13,10,8,0,45
18,2,15,6,1,11
10,5,1,9,4,70
17,5,13,5,6,24
9,6,10,2,6,49
2,3,8,9,8,35
4,12,15,9,3,100
19,10,1,6,5,10
3,6,1,8,5,84
19,5,5,7,0,68
13,14,4,3,10,52
13,1,8,10,4,56
5,11,7,5,6,59
17,10,6,8,0,83
13,3,12,6,6,60
10,5,13,6,7,94
16,9,3,1,1,60
8,9,12,8,7,54
13,5,11,6,3,51
9,12,12,7,9,68
16,4,6,3,9,35
11,11,2,2,1,19
9,10,11,7,7,90
17,6,11,8,4,49
4,8,8,7,8,50
10,10,7,3,1,14
16,9,6,6,1,86
16,3,1,10,8,84
11,13,1,7,5,63
6,4,8,2,7,69
8,12,5,4,0,35
13,1,13,4,8,95
13,10,2,2,4,33
5,15,7,10,4,77
1,7,6,9,9,3
17,9,1,7,10,75
13,7,4,8,6,69
8,11,7,4,2,17
16,12,1,6,3,50
2,13,10,5,9,57
9,7,14,5,0,28
18,1,2,3,5,15
10,6,12,7,8,5
14,7,9,6,4,53
17,5,12,7,1,73
4,13,10,10,10,63
2,11,4,3,4,76
13,15,12,5,6,17
10,5,8,6,1,18
19,1,11,6,10,92
14,2,8,3,9,34
4,11,4,9,9,27
19,1,1,3,4,7
6,1,2,7,4,34
4,15,2,5,10,40
18,13,10,5,10,69
8,15,8,7,5,57
8,1,11,4,3,48
18,5,4,7,2,56
16,1,12,6,6,41
8,15,13,5,6,24
1,9,1,8,1,100
11,11,14,4,2,44
2,3,6,8,9,5
9,4,13,7,1,6
6,3,3,4,3,87
9,13,3,7,2,52
9,9,15,2,6,58
10,6,7,4,9,10
6,3,11,4,2,33
19,6,2,8,10,57
1,2,14,3,6,10
9,7,2,5,2,78
18,7,6,8,6,56
4,13,13,10,8,49
2,6,13,8,8,88
12,9,7,6,5,25
12,13,7,9,6,31
17,1,11,10,6,20
14,4,2,4,0,71
3,14,11,3,6,79
16,6,7,6,3,58
18,8,3,7,5,45
2,1,15,2,3,54
15,7,12,4,3,87
12,6,5,9,3,18
3,8,6,4,7,34
15,2,1,2,1,78
8,4,1,4,9,59
3,1,7,9,3,60
8,15,9,1,0,43
17,3,15,5,8,92
19,14,5,7,5,5
2,4,13,8,10,89
15,1,6,8,4,60
8,14,6,5,4,1
13,6,15,4,1,60
15,11,8,8,6,83
3,15,11,2,0,6
8,2,15,4,1,54
13,2,3,10,6,60
2,1,15,8,3,16
13,13,8,5,8,48
3,6,14,1,2,59
9,11,11,9,10,30
12,8,14,1,7,23
16,10,11,2,5,13
4,5,6,5,9,64
8,1,9,1,5,56
12,1,4,6,10,74
11,2,7,8,0,79
19,1,3,5,1,43
15,14,6,3,0,74
11,6,6,6,4,65
17,3,5,9,9,21
9,2,1,2,5,12
2,6,1,3,6,38
3,10,12,10,6,11
16,9,11,6,2,29
17,15,2,5,3,67
7,5,11,7,7,44
15,6,12,6,3,33
5,14,10,6,9,96
9,9,3,8,4,76
14,2,8,1,10,7
4,8,8,4,2,86
14,13,11,2,5,71
16,1,1,4,9,56
6,3,9,9,4,42
16,9,9,7,6,70
2,15,6,8,4,72
17,4,7,7,10,5
1,15,12,5,4,5
1,6,4,1,8,72
2,4,6,9,2,47
7,8,4,6,8,11
5,1,9,9,3,85
11,3,14,1,2,62
19,14,15,2,7,75
8,14,3,4,10,49
17,12,12,1,3,81
9,15,4,10,7,50
12,2,6,1,6,16
12,9,2,5,9,62
16,1,7,4,9,67
13,3,9,8,9,5
14,13,11,6,9,14
5,10,7,3,4,77
17,1,15,10,1,20
12,15,3,5,0,60
3,6,9,9,3,82
9,2,6,2,2,67
3,11,10,7,0,65
16,10,10,1,3,26
10,11,13,1,0,34
3,2,13,8,6,1
19,6,4,8,8,83
17,4,12,6,3,54
9,11,6,2,4,25
9,2,10,10,5,88
11,5,12,5,8,6
2,5,15,5,2,35
2,3,2,9,9,77
13,10,5,3,4,48
18,14,8,1,6,43
7,2,12,2,2,4
19,9,1,4,1,39
12,12,11,8,10,49
12,9,1,4,3,78
14,5,9,4,6,81
12,4,7,8,2,70
10,12,6,3,8,80
5,9,10,1,10,68
15,10,5,2,10,37
9,9,15,4,9,59
19,3,15,8,1,39
10,11,7,4,8,63
13,9,4,9,9,7
2,12,13,8,1,29
15,13,3,8,10,61
4,2,4,6,10,25
17,15,12,9,5,80
6,8,12,5,8,91
15,11,12,1,8,69
13,5,13,5,1,56
16,6,2,7,2,36
15,5,2,3,6,70
10,5,3,8,8,20
9,12,4,8,10,3
13,9,14,4,0,20
15,13,15,3,2,33
3,2,5,2,1,36
15,3,13,8,7,37
13,14,5,4,5,54
19,1,12,6,1,66
19,11,7,7,7,25
19,3,1,2,4,26
2,15,8,4,3,27
13,8,14,6,2,28
11,13,8,2,5,57
4,4,4,2,2,18
1,11,6,3,9,78
5,10,11,2,4,34
7,7,8,9,3,34
13,14,8,3,2,95
13,5,6,9,5,7
5,3,9,5,4,75
4,15,5,1,6,45
13,10,2,7,4,14
9,15,6,3,2,22
2,11,15,4,10,15
14,11,1,1,7,83
18,7,9,6,7,58
12,14,5,9,7,62
1,6,11,10,9,73
8,7,6,4,0,15
15,6,12,5,2,42
18,2,12,10,9,13
7,13,14,1,5,46
17,3,15,8,3,96
15,2,13,2,9,17
8,10,3,9,2,45
7,11,7,10,1,95
1,9,10,5,1,49
10,12,3,8,9,37
18,3,11,10,9,42
8,9,3,9,0,23
3,1,14,4,7,79
10,1,3,10,3,21
8,12,15,9,6,85
17,6,5,4,1,95
8,14,6,4,9,37
16,6,3,10,6,70
4,15,5,1,9,11
8,1,13,7,5,79
8,9,2,2,1,53
14,1,12,7,10,46
18,2,1,6,6,65
9,9,6,1,8,4
11,8,9,10,1,12
7,4,9,8,5,10
6,2,3,7,2,36
13,14,6,10,2,61
7,15,12,1,10,39
1,7,3,2,5,94
6,4,9,6,8,54
18,3,4,8,7,46
5,11,11,7,4,4
11,2,6,3,8,6
14,14,2,4,4,79
16,3,10,5,0,69
17,4,8,10,5,49
10,9,11,6,2,6
14,13,8,7,6,73
9,15,14,9,9,74
7,12,7,3,6,17
4,8,1,9,8,27
10,12,8,2,2,8
6,6,11,9,10,63
19,7,14,10,4,1
8,12,12,8,8,83
7,12,7,1,0,72
19,10,6,4,9,22
13,14,14,2,9,23
13,5,13,3,5,36
16,10,4,4,0,42
4,12,2,4,2,64
17,2,5,10,0,90
11,12,10,10,7,54
10,9,10,3,4,11
19,3,14,9,2,27
10,3,2,6,5,65
12,5,8,4,5,62
15,6,6,9,5,86
5,13,12,7,5,89
15,6,2,2,10,16
1,1,9,10,3,23
18,1,2,10,9,99
6,10,1,9,6,55
16,2,11,9,4,67
12,8,2,2,6,77
13,14,8,1,10,3
12,8,15,1,6,37
19,15,3,4,4,77
5,2,7,9,10,25
7,1,13,3,4,78
11,9,3,10,8,99
9,5,9,6,2,75
17,11,12,2,6,8
11,12,8,8,3,9
16,3,2,5,0,39
5,7,15,10,6,20
9,12,9,3,9,49
14,11,11,4,4,31
2,5,8,3,4,42
16,8,6,3,5,90
9,15,12,2,5,50
19,14,1,9,3,26
11,1,11,10,8,4
1,7,6,8,1,38
6,10,12,1,6,69
12,7,14,2,5,32
12,5,15,8,4,58
8,6,14,3,4,91
11,6,13,3,6,16
5,11,5,9,6,6
19,4,2,5,6,16
2,6,3,2,1,93
3,2,1,10,0,57
14,6,9,2,7,9
14,6,3,8,7,67
7,6,5,4,0,41
17,4,3,7,10,95
7,3,8,9,10,71
9,3,10,8,9,66
16,4,13,2,6,57
15,11,9,1,1,93
12,12,4,8,10,7
19,3,9,7,4,25
5,9,15,7,10,58
2,13,12,7,7,60
3,9,13,4,9,83
17,10,14,8,2,78
7,3,8,1,1,65
17,12,8,2,7,61
18,5,10,4,10,14
18,15,10,6,4,31
15,9,6,4,1,27
5,12,5,6,1,20
16,11,15,10,5,96
10,12,2,7,9,28
11,6,4,3,3,93
3,13,11,2,1,90
8,7,5,7,4,36
17,9,13,3,0,21
5,7,2,6,2,18
4,4,2,10,2,85
12,15,9,2,4,14
4,4,11,7,0,46
7,1,7,3,2,42
17,2,2,5,5,93
18,3,3,3,8,100
7,14,3,10,0,97
1,7,13,5,4,83
16,14,4,2,0,29
4,9,5,3,5,53
14,15,8,8,1,61
17,12,12,8,6,65
3,13,13,6,2,10
3,5,2,10,0,70
1,15,9,5,4,90
18,12,7,4,0,2
14,7,8,2,9,100
11,11,2,9,2,28
10,1,2,9,8,85
10,15,8,4,9,77
5,4,4,4,3,76
16,2,13,4,6,39
1,13,11,2,9,71
1,8,2,9,4,50
2,1,1,2,0,9
17,8,6,4,3,23
16,15,10,6,3,73
19,15,12,5,5,61
9,3,11,2,7,60
13,11,11,10,9,4
7,14,11,7,10,92
19,8,13,3,8,53
11,13,14,10,8,9
18,5,11,5,7,83
3,7,15,4,4,60
8,15,10,5,0,41
4,6,7,2,1,36
16,8,3,3,3,4
17,3,5,2,8,36
6,3,6,5,2,59
14,11,13,10,2,51
4,13,15,2,3,74
19,6,9,7,3,89
12,10,13,4,2,52
9,12,9,1,0,64
7,10,8,5,6,36
7,1,8,5,2,83
3,11,3,1,9,68
6,3,9,3,7,75
10,15,8,1,7,91
13,10,13,6,8,41
3,1,10,10,2,97
15,13,4,4,6,4
4,4,1,5,3,99
14,5,3,10,1,85
19,15,3,2,8,48
14,3,8,10,3,58
2,12,8,3,3,1
11,1,13,1,6,85
3,7,6,10,1,2
5,12,9,1,6,77
17,1,6,7,4,20
2,1,5,9,1,44
19,5,7,2,9,88
10,8,9,1,0,74
6,5,12,4,2,79
9,11,11,3,3,58
16,8,10,2,0,51
14,4,12,8,9,66
11,4,4,1,0,45
17,12,6,6,8,15
18,7,12,10,8,19
19,8,5,3,0,66
1,14,1,5,7,34
16,3,15,1,1,71
12,1,1,1,0,23
7,2,10,5,10,77
6,6,6,10,2,73
8,14,13,9,4,42
4,3,15,6,7,34
6,15,7,10,4,6
1,14,4,6,4,50
7,8,5,5,3,88
5,3,10,4,3,54
4,7,3,8,10,27
14,11,13,5,1,27
8,3,7,10,6,70
3,3,4,4,1,82
10,8,5,2,6,57
11,10,15,2,3,69
15,9,13,6,2,41
15,10,11,8,4,48
6,5,2,10,3,54
8,7,2,7,9,85
18,4,8,9,8,74
